Property Name,Bedrooms,View,Location,Size (sqft),Price (USD),Description
Loft #1,1,lake view,"Madison, WI",2409,2945882,"A 2409 sqft loft with 1 bedrooms, lake view, located in Madison, WI, priced at $2,945,882."
Townhouse #2,3,forest view,"Virginia Beach, VA",2895,2539454,"A 2895 sqft townhouse with 3 bedrooms, forest view, located in Virginia Beach, VA, priced at $2,539,454."
Loft #3,2,forest view,"Portland, OR",2864,453421,"A 2864 sqft loft with 2 bedrooms, forest view, located in Portland, OR, priced at $453,421."
Townhouse #4,5,park view,"Pittsburgh, PA",2095,3443565,"A 2095 sqft townhouse with 5 bedrooms, park view, located in Pittsburgh, PA, priced at $3,443,565."
Loft #5,4,golf course view,"Richmond, VA",1719,3810872,"A 1719 sqft loft with 4 bedrooms, golf course view, located in Richmond, VA, priced at $3,810,872."
Villa #6,4,river view,"Sacramento, CA",2248,1716045,"A 2248 sqft villa with 4 bedrooms, river view, located in Sacramento, CA, priced at $1,716,045."
Penthouse #7,3,golf course view,"Washington, DC",2794,1434575,"A 2794 sqft penthouse with 3 bedrooms, golf course view, located in Washington, DC, priced at $1,434,575."
Townhouse #8,3,park view,"Tucson, AZ",2387,253055,"A 2387 sqft townhouse with 3 bedrooms, park view, located in Tucson, AZ, priced at $253,055."
Condo #9,1,park view,"Palm Springs, CA",1584,1676150,"A 1584 sqft condo with 1 bedrooms, park view, located in Palm Springs, CA, priced at $1,676,150."
Townhouse #10,2,ocean view,"Boulder, CO",918,933940,"A 918 sqft townhouse with 2 bedrooms, ocean view, located in Boulder, CO, priced at $933,940."
Penthouse #11,2,lake view,"Los Angeles, CA",2513,1307227,"A 2513 sqft penthouse with 2 bedrooms, lake view, located in Los Angeles, CA, priced at $1,307,227."
Loft #12,5,garden view,"Phoenix, AZ",967,318076,"A 967 sqft loft with 5 bedrooms, garden view, located in Phoenix, AZ, priced at $318,076."
House #13,2,mountain view,"Savannah, GA",1407,4470483,"A 1407 sqft house with 2 bedrooms, mountain view, located in Savannah, GA, priced at $4,470,483."
Villa #14,1,river view,"Naples, FL",1051,1792378,"A 1051 sqft villa with 1 bedrooms, river view, located in Naples, FL, priced at $1,792,378."
Studio #15,4,river view,"Honolulu, HI",2775,1184958,"A 2775 sqft studio with 4 bedrooms, river view, located in Honolulu, HI, priced at $1,184,958."
Villa #16,3,golf course view,"Burlington, VT",2851,2969418,"A 2851 sqft villa with 3 bedrooms, golf course view, located in Burlington, VT, priced at $2,969,418."
Studio #17,5,park view,"Lake Tahoe, NV",1911,342636,"A 1911 sqft studio with 5 bedrooms, park view, located in Lake Tahoe, NV, priced at $342,636."
Condo #18,2,mountain view,"Long Beach, CA",2332,705525,"A 2332 sqft condo with 2 bedrooms, mountain view, located in Long Beach, CA, priced at $705,525."
Townhouse #19,2,mountain view,"Honolulu, HI",1299,2426910,"A 1299 sqft townhouse with 2 bedrooms, mountain view, located in Honolulu, HI, priced at $2,426,910."
Loft #20,2,golf course view,"Washington, DC",1345,3593406,"A 1345 sqft loft with 2 bedrooms, golf course view, located in Washington, DC, priced at $3,593,406."
House #21,1,desert view,"Dallas, TX",1085,2300717,"A 1085 sqft house with 1 bedrooms, desert view, located in Dallas, TX, priced at $2,300,717."
Penthouse #22,2,river view,"Malibu, CA",2978,2377809,"A 2978 sqft penthouse with 2 bedrooms, river view, located in Malibu, CA, priced at $2,377,809."
Penthouse #23,5,lake view,"Palm Springs, CA",2349,2206633,"A 2349 sqft penthouse with 5 bedrooms, lake view, located in Palm Springs, CA, priced at $2,206,633."
Villa #24,3,golf course view,"Chicago, IL",2253,4008888,"A 2253 sqft villa with 3 bedrooms, golf course view, located in Chicago, IL, priced at $4,008,888."
Studio #25,1,garden view,"Aspen, CO",936,4249994,"A 936 sqft studio with 1 bedrooms, garden view, located in Aspen, CO, priced at $4,249,994."
Studio #26,3,garden view,"Santa Cruz, CA",2505,2082051,"A 2505 sqft studio with 3 bedrooms, garden view, located in Santa Cruz, CA, priced at $2,082,051."
House #27,4,river view,"Aspen, CO",1892,897449,"A 1892 sqft house with 4 bedrooms, river view, located in Aspen, CO, priced at $897,449."
Loft #28,2,forest view,"Tucson, AZ",990,2711275,"A 990 sqft loft with 2 bedrooms, forest view, located in Tucson, AZ, priced at $2,711,275."
Townhouse #29,2,garden view,"Salt Lake City, UT",2491,4684728,"A 2491 sqft townhouse with 2 bedrooms, garden view, located in Salt Lake City, UT, priced at $4,684,728."
House #30,4,forest view,"Minneapolis, MN",1532,1893678,"A 1532 sqft house with 4 bedrooms, forest view, located in Minneapolis, MN, priced at $1,893,678."
Condo #31,3,forest view,"San Francisco, CA",1159,1274251,"A 1159 sqft condo with 3 bedrooms, forest view, located in San Francisco, CA, priced at $1,274,251."
